Period,Team,Manager,SentimentScore,Response,KeyPhrases
2019-Q1,Team 2,Mgr 1,0.79,A blast!  Always working towards delivering more value.  Want to get work done faster.  Continue building our relationship with our stakeholders.,"relationship, stakeholders, work, blast, value"
2019-Q1,Team 4,Mgr 1,1,All is good!,""
2018-Q3,Team 9,Mgr 3,0.75,"Although the team is in good health, there are concerns around resources, time and training. There are also concerns around decision making transparency.  Also, cross-team planning is an are for improvement within IT.  Our team rocks!","team rocks, cross-team planning, improvement, resources, good health, time, training, decision, transparency"
2019-Q1,Team 7,Mgr 3,0.96,Amazing. Love working on this team,"love, team"
2018-Q3,Team 9,Mgr 3,0.89,"As a team we lack external support to accomplish our goals, but we do the best that we can with the tools that are provided.","goals, external support, team, tools"
2019-Q1,Team 9,Mgr 3,0.88,"As a team, we are providing a significant value to business in terms of giving them a future proof and scalable solution for the long term.  There is excellent collaboration and learning opportunities within the team.  One suggestion on learning front is to have a team presentation to explain the problem solution for every story completed. ","team presentation, scalable solution, problem solution, learning opportunities, terms, future proof, significant value, long term, excellent collaboration, business, story, suggestion"
2019-Q2,Team 4,Mgr 1,0.27,"As a whole, I feel our team health is green because of the positive teamwork environment and the comradery of the team members.","team health, team members, positive teamwork environment, comradery"
2018-Q3,Team 5,Mgr 2,0.25,"As part of OMP team, the team health seems good, which would be yellow. However, I would say a part of larger and dependent team, I would incline to RED. There are a few support related issues due to experienced resources being very busy and due to tight timelines. My inclination is towards RED.","team health, omp team, dependent team, experienced resources, support related issues, tight timelines, inclination"
2018-Q4,Team 2,Mgr 1,0.78,Awesome with some grey areas around ProjectX work.,"grey areas, projectx work"
2018-Q3,Team 6,Mgr 2,0.98,"Awesome, this team is good at collaboration, brain storming. Very informal, trusting and hardworking.","team, collaboration, brain storming"
2018-Q3,Team 2,Mgr 1,0.21,Being a team with lot of team members I feel we are doing fairly good on all parameters.  Team work and synergy is still up high and cloud & ProjectX seems to driving most of the frustrations.  Although there are few operational difficulties we are doing good as a team.,"team work, lot of team members, synergy, cloud, projectx, operational difficulties, parameters, frustrations"
2019-Q1,Team 7,Mgr 3,0.11,"Better than the last few - ProjectX impacts pretty much all of our work and the communication, processes and support are not working well. Needs improvement as MDM feels like an afterthought","work, communication, processes, projectx impacts, improvement, mdm, afterthought, support"
2018-Q3,Team 2,Mgr 1,0.91,Better than what I was expecting based on what the team has been going through lately. Good to see folks are feeling happy with where we are.,"folks, team"
2018-Q4,Team 2,Mgr 1,0.79,"Cohesive circle, chaotic soup","cohesive circle, chaotic soup"
